pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P234,R234,197,90,1.0,116,15
P235,R235,101,90,1.1,77,15
P236,R236,101,60,0.95,47,15
P237,R237,129,75,0.95,74,15
P238,R238,112,75,1.0,67,15
P239,R239,117,60,1.1,54,15
P240,R240,77,75,1.0,53,15
P241,R241,118,90,0.95,84,15
P242,R242,139,60,1.0,63,15
P243,R243,150,90,0.95,97,15
P244,R244,114,75,1.0,68,15
P245,R245,94,60,1.05,45,15
P246,R246,212,75,1.05,107,15
P247,R247,165,90,1.0,103,15
P248,R248,101,60,1.0,47,15
P249,R249,181,75,1.0,95,15
P250,R250,161,90,1.0,101,15
P251,R251,185,60,1.0,81,15
P252,R252,102,75,0.95,63,15
P253,R253,132,90,1.1,90,15
P254,R254,127,60,0.95,58,15
P255,R255,134,75,1.05,76,15
P256,R256,80,90,1.0,69,15
P257,R257,104,60,1.1,48,15
P258,R258,90,90,1.05,73,15
P259,R259,117,75,1.05,69,15
P260,R260,127,60,1.0,58,15
P261,R261,74,90,1.1,67,15
P262,R262,127,90,1.05,88,15
P263,R263,129,60,1.1,58,15
P264,R264,117,75,1.0,69,15
P265,R265,136,90,0.95,91,15
P266,R266,110,60,0.95,51,15
P267,R267,147,75,1.0,81,15
P268,R268,115,90,1.1,83,15
P269,R269,105,60,1.05,49,15
P270,R270,157,75,1.0,85,15
P271,R271,100,75,0.95,62,15
P272,R272,181,60,1.0,79,15
P273,R273,105,75,1.1,64,15
P274,R274,128,75,1.1,73,15
P275,R275,80,60,1.05,39,15
P276,R276,136,75,1.1,76,15
P277,R277,129,75,1.1,74,15
P278,R278,80,60,1.05,39,15
P279,R279,146,90,1.1,96,15
P280,R280,105,90,0.95,79,15
P281,R281,107,60,0.95,50,15
P282,R282,133,75,1.1,75,15
P283,R283,78,90,1.0,68,15
P284,R284,113,60,1.05,52,15
P285,R285,126,75,1.1,72,15
P286,R286,92,75,1.0,59,15
P287,R287,122,60,1.05,56,15
P288,R288,133,90,1.05,90,15
P289,R289,157,75,1.0,85,15
P290,R290,90,60,0.95,43,15
P291,R291,94,90,0.95,75,15
P292,R292,129,90,1.1,89,15
P293,R293,79,60,1.0,38,15
P294,R294,130,75,1.0,74,15
P295,R295,145,75,1.05,80,15
P296,R296,110,60,1.1,51,15
P297,R297,203,75,0.95,103,15
P298,R298,139,75,1.0,78,15
P299,R299,140,60,1.1,63,15
P300,R300,113,75,1.0,67,15
P301,R301,114,90,1.05,82,15
P302,R302,84,60,1.0,41,15
P303,R303,181,75,1.05,94,15
P304,R304,138,90,1.0,92,15
P305,R305,111,60,1.0,51,15
P306,R306,104,75,1.1,64,15
P307,R307,120,75,1.0,70,15
P308,R308,120,60,0.95,55,15
P309,R309,115,90,1.1,83,15
P310,R310,74,90,0.95,67,15
P311,R311,95,60,0.95,45,15
P312,R312,136,90,0.95,91,15
P313,R313,184,75,0.95,96,15
P314,R314,79,60,1.1,39,15
P315,R315,100,75,1.05,62,15
P316,R316,190,75,1.1,98,15
P317,R317,158,60,0.95,70,15
P318,R318,138,75,0.95,77,15
P319,R319,134,75,0.95,76,15
P320,R320,123,60,1.0,56,15
P321,R321,105,75,0.95,64,15
P322,R322,148,75,0.95,81,15
P323,R323,124,60,0.95,56,15
P324,R324,104,75,1.0,64,15
P325,R325,130,90,1.05,89,15
P326,R326,191,60,0.95,83,15
P327,R327,125,75,1.05,72,15
P328,R328,177,75,0.95,93,15
P329,R329,73,60,1.0,36,15
P330,R330,150,75,1.1,82,15
P331,R331,117,75,0.95,69,15
P332,R332,110,60,1.05,51,15
P333,R333,134,90,0.95,91,15
P334,R334,122,90,1.1,86,15
P335,R335,95,60,1.05,45,15
P336,R336,181,90,1.0,109,15
P337,R337,87,75,1.05,57,15
P338,R338,122,60,1.05,56,15
P339,R339,145,90,1.1,95,15
P340,R340,128,75,1.05,73,15
P341,R341,173,60,1.1,76,15
P342,R342,113,75,1.05,67,15
P343,R343,164,75,0.95,88,15
P344,R344,153,60,1.1,68,15
P345,R345,104,75,1.0,64,15
P346,R346,131,75,1.05,74,15
P347,R347,127,60,0.95,58,15
P348,R348,83,90,0.95,70,15
P349,R349,182,90,1.1,110,15
P350,R350,145,60,1.05,65,15
P351,R351,128,90,0.95,88,15
P352,R352,133,90,1.1,90,15
P353,R353,160,60,1.0,71,15
P354,R354,145,75,1.05,80,15
P355,R355,203,75,1.0,103,15
P356,R356,138,60,1.05,62,15
P357,R357,103,90,1.05,78,15
P358,R358,165,90,0.95,103,15
P359,R359,120,60,1.1,55,15
P360,R360,163,90,0.95,102,15
P361,R361,82,75,1.1,55,15
P362,R362,92,60,1.0,44,15
P363,R363,131,90,1.1,89,15
P364,R364,85,75,0.95,56,15
P365,R365,161,60,0.95,71,15
P366,R366,117,75,0.95,69,15
P367,R367,170,75,1.0,90,15
P368,R368,97,60,1.0,46,15
P369,R369,138,75,1.05,77,15
P370,R370,122,90,0.95,86,15
P371,R371,76,60,0.95,37,15
P372,R372,84,75,1.1,55,15
P373,R373,143,75,1.05,79,15
P374,R374,156,60,1.1,69,15
P375,R375,155,90,0.95,99,15
P376,R376,202,75,1.0,103,15
P377,R377,187,60,1.05,82,15
P378,R378,102,90,1.0,78,15
P379,R379,183,75,1.1,95,15
P380,R380,188,60,1.1,82,15
P381,R381,93,75,0.95,59,15
P382,R382,135,90,1.0,91,15
P383,R383,95,60,1.05,45,15
P384,R384,139,75,1.05,78,15
P385,R385,106,90,1.05,79,15
P386,R386,160,60,0.95,71,15
P387,R387,92,75,1.1,59,15
P388,R388,79,90,0.95,69,15
P389,R389,105,60,1.0,49,15
P390,R390,159,75,1.1,85,15
P391,R391,117,90,1.0,84,15
P392,R392,107,60,0.95,50,15
P393,R393,93,75,1.1,59,15
P394,R394,154,90,1.0,99,15
P395,R395,143,60,0.95,64,15
P396,R396,75,90,1.05,67,15
P397,R397,153,90,1.0,98,15
P398,R398,156,60,1.1,69,15
P399,R399,125,90,0.95,87,15
P400,R400,112,75,1.1,67,15
P401,R401,121,60,1.05,55,15
P402,R402,108,90,1.05,80,15
P403,R403,156,75,1.05,85,15
P404,R404,91,60,1.0,43,15
P405,R405,87,75,1.05,57,15
P406,R406,133,75,0.95,75,15
P407,R407,82,60,0.95,40,15
P408,R408,109,90,1.05,81,15
P409,R409,142,90,1.1,94,15
P410,R410,121,60,1.0,55,15
P411,R411,141,75,0.95,78,15
P412,R412,179,90,0.95,109,15
P413,R413,96,60,1.05,45,15
P414,R414,168,90,1.1,104,15
P415,R415,149,90,0.95,96,15
P416,R416,212,60,1.1,92,15
P417,R417,111,90,1.1,82,15
P418,R418,195,90,1.05,115,15
P419,R419,104,60,1.1,49,15
P420,R420,108,75,1.1,65,15
P421,R421,90,90,1.0,73,15
P422,R422,125,60,1.0,57,15
P423,R423,140,75,0.95,78,15
P424,R424,138,75,1.05,77,15
P425,R425,206,60,0.95,89,15
P426,R426,126,75,1.1,72,15
P427,R427,123,90,1.1,86,15
P428,R428,106,60,0.95,49,15
P429,R429,117,75,1.1,69,15
P430,R430,86,75,0.95,56,15
P431,R431,106,60,1.05,49,15
P432,R432,138,75,1.1,77,15
P433,R433,75,75,1.0,52,15
P434,R434,201,60,1.0,87,15
P435,R435,115,75,1.0,68,15
P436,R436,164,90,1.0,103,15
P437,R437,105,60,1.0,49,15
P438,R438,191,90,1.1,113,15
P439,R439,170,75,1.1,90,15
P440,R440,132,60,0.95,60,15
P441,R441,104,75,1.1,64,15
P442,R442,86,75,0.95,57,15
P443,R443,138,60,0.95,62,15
P444,R444,76,75,1.1,53,15
P445,R445,78,75,1.1,53,15
P446,R446,165,60,1.1,73,15
P447,R447,168,90,1.1,104,15
P448,R448,157,75,1.0,85,15
P449,R449,124,60,1.05,57,15
P450,R450,93,75,0.95,59,15
P451,R451,114,90,1.1,83,15
P452,R452,125,60,1.1,57,15
P453,R453,210,90,1.05,121,15
P454,R454,116,90,1.0,84,15
P455,R455,124,60,1.1,57,15
P456,R456,100,75,1.05,62,15
P457,R457,131,75,1.0,74,15
P458,R458,108,60,1.0,50,15
P459,R459,88,75,1.1,57,15
P460,R460,82,75,1.1,55,15
P461,R461,145,60,1.05,65,15
P462,R462,102,90,1.05,78,15
P463,R463,127,90,1.05,88,15
P464,R464,182,60,1.05,80,15
P465,R465,97,75,1.0,61,15
P466,R466,117,75,1.0,69,15
P467,R467,114,60,1.05,53,15
P468,R468,132,75,1.0,75,15
P469,R469,96,90,1.05,76,15
P470,R470,162,60,1.1,72,15
P471,R471,135,75,1.05,76,15
P472,R472,158,75,0.95,85,15
P473,R473,79,60,1.0,39,15
P474,R474,124,75,1.05,71,15
P475,R475,149,75,1.05,81,15
P476,R476,78,60,0.95,38,15
P477,R477,174,75,0.95,92,15
P478,R478,120,75,1.1,70,15
P479,R479,88,60,1.05,42,15
P480,R480,111,75,1.0,66,15
P481,R481,108,75,1.0,65,15
P482,R482,212,60,0.95,92,15
P483,R483,177,90,1.0,108,15
P484,R484,128,75,1.05,73,15
P485,R485,95,60,1.05,45,15
P486,R486,100,75,1.05,62,15
P487,R487,117,75,1.1,69,15
P488,R488,76,60,0.95,37,15
P489,R489,138,75,1.05,77,15
P490,R490,166,75,0.95,88,15
P491,R491,114,60,1.1,53,15
P492,R492,150,90,1.1,97,15
P493,R493,112,75,1.1,67,15
P494,R494,124,60,1.0,57,15
P495,R495,92,90,1.1,74,15
P496,R496,169,75,0.95,90,15
P497,R497,155,60,1.0,69,15
P498,R498,103,90,0.95,78,15
P499,R499,136,75,1.05,77,15
P500,R500,139,60,1.05,62,15
P501,R501,102,75,0.95,63,15
P502,R502,120,75,0.95,70,15
P503,R503,120,60,1.05,55,15
P504,R504,188,75,1.1,97,15
P505,R505,118,75,1.0,69,15
P506,R506,98,60,0.95,46,15
P507,R507,99,75,0.95,62,15
P508,R508,97,90,1.05,76,15
P509,R509,197,60,1.1,86,15
P510,R510,144,75,1.0,80,15
P511,R511,81,75,1.1,54,15
P512,R512,120,60,1.05,55,15
P513,R513,144,75,1.05,79,15
P514,R514,157,90,1.1,100,15
P515,R515,177,60,1.05,78,15
P516,R516,135,75,1.1,76,15
P517,R517,73,75,1.0,51,15
P518,R518,101,60,1.05,47,15
P519,R519,160,75,0.95,86,15
P520,R520,172,75,1.0,91,15
P521,R521,108,60,1.1,50,15
P522,R522,193,75,1.1,99,15
P523,R523,224,90,0.95,126,15
P524,R524,120,60,0.95,55,15
P525,R525,138,75,1.05,77,15
P526,R526,150,90,1.1,97,15
P527,R527,105,60,1.0,49,15
P528,R528,93,90,0.95,74,15
P529,R529,101,90,1.05,78,15
P530,R530,129,60,1.05,59,15
P531,R531,108,90,1.05,80,15
P532,R532,141,90,1.0,94,15
P533,R533,219,60,1.05,95,15
P534,R534,118,75,1.1,69,15
P535,R535,162,75,0.95,87,15
P536,R536,86,60,1.0,41,15
P537,R537,168,75,1.1,89,15
P538,R538,119,75,0.95,69,15
P539,R539,125,60,1.05,57,15
P540,R540,192,75,0.95,99,15
P541,R541,159,90,1.1,101,15
P542,R542,133,60,1.1,60,15
P543,R543,93,75,1.05,59,15
P544,R544,96,75,1.1,60,15
P545,R545,165,60,1.0,73,15
P546,R546,77,75,0.95,53,15
P547,R547,77,75,1.1,53,15
P548,R548,228,60,1.1,98,15
P549,R549,196,75,0.95,100,15
P550,R550,154,75,1.0,84,15
P551,R551,187,60,1.1,82,15
P552,R552,81,90,1.05,70,15
P553,R553,91,75,1.1,58,15
P554,R554,121,60,1.1,55,15
P555,R555,120,75,1.05,70,15
P556,R556,122,90,1.1,86,15
P557,R557,124,60,1.1,57,15
P558,R558,130,90,0.95,89,15
P559,R559,116,90,1.1,83,15
P560,R560,163,60,1.0,72,15
P561,R561,106,75,1.05,64,15
P562,R562,162,75,1.05,87,15
P563,R563,107,60,0.95,50,15
P564,R564,130,75,1.05,74,15
P565,R565,137,90,0.95,92,15
P566,R566,88,60,1.1,42,15
P567,R567,117,90,1.1,84,15
P568,R568,135,75,1.1,76,15
P569,R569,104,60,1.0,49,15
P570,R570,100,90,1.1,77,15
P571,R571,148,75,1.1,81,15
P572,R572,128,60,0.95,58,15
P573,R573,124,90,0.95,86,15
P574,R574,102,75,1.1,63,15
P575,R575,140,60,0.95,63,15
P576,R576,166,75,1.05,88,15
P577,R577,83,90,1.1,70,15
P578,R578,201,60,1.0,87,15
P579,R579,169,90,1.05,105,15
P580,R580,123,75,0.95,71,15
P581,R581,136,60,1.1,61,15
P582,R582,74,90,1.1,67,15
P583,R583,97,90,1.0,76,15
P584,R584,179,60,1.05,79,15
P585,R585,122,75,1.1,71,15
P586,R586,104,90,0.95,78,15
P587,R587,136,60,1.0,61,15
P588,R588,73,75,0.95,51,15
P589,R589,171,90,1.1,105,15
P590,R590,125,60,1.05,57,15
P591,R591,164,75,1.05,88,15
P592,R592,104,90,1.0,79,15
P593,R593,103,60,0.95,48,15
P594,R594,112,90,1.1,82,15
P595,R595,160,90,0.95,101,15
P596,R596,127,60,0.95,58,15
P597,R597,104,90,0.95,78,15
P598,R598,92,90,1.1,74,15
P599,R599,140,60,1.05,63,15
P600,R600,186,90,1.1,111,15
P601,R601,108,75,1.0,65,15
P602,R602,94,75,1.1,60,15
